scenario,source_model,source_type,tradition,axis,unit_id,checkpoint,checkpoint_scaled,lexical_density,moving_average_type_token_ratio,vocabulary_richness,mean_sentence_length,punctuation_rate,clause_density,valence,arousal,dominance,emotion_joy,emotion_sadness,emotion_fear,emotion_anger,emotion_awe,emotion_longing,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,embedding_08,embedding_09,embedding_10,embedding_11,embedding_12,rasa_sringara,rasa_karuna,rasa_shanta,rasa_bhakti,viraha_longing,monsoon_affect
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P01,0,0.0,-0.25962932477435957,-0.17491229351741494,0.2591162875062901,-0.0056894585436519434,0.4949698094736906,0.13069715313214833,-0.3684730021046273,-0.5604783939933045,0.039276054468182234,0.1546579778939548,-0.23586529323190147,-0.04381438333990351,-0.3988530687761623,0.7636426617135595,0.2525204453063309,0.5229827062037936,0.5032135070200869,-0.5221213613736522,0.5091560373520441,-0.5096962661416327,0.2292658734683804,-0.3278945400249927,-0.8619522417603152,0.7510630357937892,-0.16624685010064819,-0.4934253854560215,0.0022372139582785555,1.0843289901497801,-0.16360956636182797,0.06467097385867375,0.3787321077883067,-0.010486778226460686,-0.3119082460220579
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P01,3,0.2,-0.03422891090259442,-0.47655741444913885,0.1901650765833852,0.018964804298720148,0.4652331618913307,0.1298919760569884,-0.22905301555801938,-0.5456311449901029,0.04768733426659644,0.013434178197428481,-0.05540184800612529,-0.17427243437455947,-0.7339394360664135,0.99761605244349,0.2103796421309361,0.6077583288663152,0.7335820905269943,-0.6855617657208894,0.9422821346804335,0.1031666592631141,-0.012897200669754083,0.711783579656213,-0.8955949994810247,0.682036619598032,0.32751325630739647,-0.7067603914865489,-0.32489396454787955,0.8974197044655557,-0.039790948151080946,0.10118126235021022,0.5043956221461404,0.45638325668621654,-0.3560494101848968
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P01,6,0.4,-0.3687104061790576,-0.31350953502299317,0.10506173655461415,-0.003985683708772312,0.2621679592549597,0.23568534187400614,-0.17213046816817656,-0.6095634019013917,0.5042594510305497,-0.3242886253676208,0.15837750498353179,-0.3167125396723951,-0.8537438336546727,0.7172372179493453,0.4280112352092836,0.3685889050699399,0.44556252613198305,-0.5084044871808936,0.7666264958862143,0.10094273789534962,0.19057627577511432,0.5292400495290951,-0.6738662673558853,0.5170723015202756,0.08705512939937163,-0.4247710393264923,0.01817403345922894,0.9881612896411882,0.23459018262702744,0.028757498103470294,0.38665950573472757,0.2443921099043638,-0.23120949362262228
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P01,9,0.6,-0.3151759434464723,-0.1501716819731577,0.13252342257022845,0.20815272520288025,0.7405948712957875,-0.07904373962740889,-0.16905825836559485,-0.6234736462638624,0.08393784577910532,0.02359391198692204,-0.13118269195368856,-0.36450770710024155,-0.6756642754847697,0.9001881611633609,0.18495423871354288,0.5608246207892836,0.5283367667007577,-0.3261671111227291,0.8271597142365729,-0.21106037145080137,0.0551325291264982,0.39295034440160426,-0.8444914265962786,0.638950143218468,0.3011161728710552,-0.3017582165868152,-0.3987266462979314,0.9848793913689019,-0.06881487040231794,-0.06931482685769022,0.17978145862832295,-0.19525930113656262,-0.25191266643228344
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P01,12,0.8,-0.21832624630158926,-0.3022840190835828,0.06844597794339698,0.167333376852911,0.7178087226348363,0.008905097487515973,-0.38012980720596157,-0.31605270342213093,-0.1296263972960479,0.20098854568997065,0.3500257451505585,-0.26606428016453143,-0.6730515673008547,1.0173644049169448,0.04990325396013162,0.8524291681755747,0.15909071227845178,-0.437581089925041,0.6318151937746296,0.2540894652429803,0.14838616597763266,0.08122726051519741,-0.7937561710257179,0.648397624708029,0.25813355064155874,-0.9014019546119822,0.05732277023296761,1.154881524769723,-0.1500936299914401,-0.04827398604556002,0.3680316900934368,0.39139696707293936,-0.06732262512480874
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P01,15,1.0,-0.2330131617764023,-0.18382299769856053,0.3441742655645213,-0.023800835393274676,0.7233212515236558,0.05891488264836253,-0.3521531347984559,-0.5804388538901567,0.06989743014735106,-0.4804792262365954,-0.21507873652194692,-0.6340242933053399,-0.58522217892353,1.1703268947982854,0.5391342714826597,0.12448268719244804,0.5419196783778069,-0.6492229593016848,0.44574074598167734,-0.21477913183358527,-0.10829021284974205,0.7192884100469101,-1.1469842608737209,0.4072304332289113,-0.012941234444694596,-0.5865400850028364,-0.12338537609927738,0.7391666747736041,0.015262162607593527,0.1880444676120817,0.6394369894828812,0.17461312276890334,-0.04770774118185328
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P02,0,0.0,-0.4561789196847217,0.5770150301812088,-0.028575064769361724,0.31905429138528685,-0.0007770105202781763,0.2598842241322933,0.23980222226449552,-0.22122704571564916,-0.18640441080467962,-0.16796121334846092,0.8459071002923608,0.3840455873339267,-0.02728424932601131,0.17430335659624818,0.4285142140158428,0.7494030229398836,-0.29634507537813026,-0.44336372065185753,0.3600475109748563,-0.1715103760703692,0.22814225100273333,0.06589768279926772,0.3776319125484027,-0.4417292244791632,0.7792050017554206,0.21561958592534114,0.20020024243188161,0.49903227313623444,0.18501158296063314,0.7559379088190676,0.5126107033201055,-0.17033611049800643,-0.33760591473750823
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P02,3,0.2,-0.5393255287759771,0.6513060060205011,0.3730481676764854,-0.1709215168235007,0.16925332449947278,0.5300831535305113,0.17953595186194649,-0.36042942863135796,0.2039225523024781,0.11270779763674332,0.6136530292303457,0.17025270024151007,-0.5727634590285262,0.03683396042898335,0.25886953219841013,0.42494537088749235,-0.21648787102728048,-0.09934342887505054,0.4648890886717355,-0.196034240968808,0.6423056652092087,0.12435599067248473,0.30445391736616145,-0.06124833814525432,0.5411954514329743,0.3365474697658198,0.3486411155124857,0.583506892535764,0.3939552785197392,0.9189636008272158,0.1473331154757968,-0.10541482134814105,-0.12501326365379933
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P02,6,0.4,-0.5146054709475595,0.5271845646874733,0.27556958097420137,-0.20497204413947945,0.22401074770136425,0.6943226789907647,0.6236429706824065,-0.2540960308906136,0.3199552037000415,-0.06108629855248844,0.32639556358086014,0.5481347799877765,-0.2817970829793428,0.4654645671957296,0.2455965782710343,0.8893633304282698,-0.07378935285258759,0.004516777381171552,0.18294961193297377,-0.1655344274339226,1.0228021455448681,0.271697305960316,0.6830041083517402,-0.25436842600206316,0.4239599621881083,0.12540193574799968,-0.1296202440600362,-0.04762230171757126,0.08049596673932782,0.9209491687238963,0.2023912204743779,-0.18255086653422908,-0.14919111887494374
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P02,9,0.6,-0.4136238740294771,0.6766225775219876,0.3208436577792835,0.3165341238409949,0.17545322709618344,0.4007320416251023,0.1149159121597825,-0.4920425463807185,0.1758015147547217,0.005826742222918846,0.7284198021568713,0.24676230212994307,-0.21960873238683848,0.20528009614275677,0.3079962413260862,1.0599588540504927,-0.3427076014244517,0.10457954465158455,0.1045787206472304,-0.021998093644780073,0.8093508487504619,0.470771158861833,0.6435286704793874,-0.4974587929155634,0.5805457338550655,0.5653367305587955,0.3357779644076683,0.17249436168019966,0.01823968251739974,1.1685164224211853,0.4691716241707411,-0.05721227462895665,-0.1721752477950505
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P02,12,0.8,-0.4516570462457159,0.7419946789176041,0.29937935370714,0.2672787006523533,0.16507038580112326,0.8434859319288808,0.4188720773069756,-0.11425901785731685,-0.10769185163260708,-0.039303843720009904,0.3773012277619581,-0.00620231633420773,-0.7317688586440632,0.17197734595701278,0.5365028675574647,0.8632329957508991,-0.1252975685375486,0.063111846252229,0.3337881783324429,0.08220663053373947,0.643290531858982,0.4304352508756685,0.30737723098789466,-0.2251764001257922,0.7132469178807578,0.13775047224584422,-0.051549424292591045,-0.00998172463897351,0.23487009918566434,1.151005411291799,0.6844165189193561,0.09087371896074073,0.30779849052764874
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P02,15,1.0,-0.44816251744215413,0.751934836795481,0.36093718371166855,0.17057374450244467,0.07916690589424573,0.4787105441673959,0.30994104430614694,-0.5521153767226912,0.2179787188828631,-0.11649263927108659,0.44124113667260845,0.33740945462360883,-0.21440388914533007,-9.247744690457638e-05,-0.007764251602274841,0.3442984628444096,-0.2889277085584032,-0.12700479480500695,0.03847961033158975,-0.24514650716094066,0.30346556980060385,0.20570749523721799,0.7058585689796053,-0.21541523527584125,0.92630350249797,0.39151114820648186,0.056434423363869404,0.5619134097675745,0.32861835083050084,0.8249204947431861,0.4909500806294587,-0.13210246698403422,-0.08483017585653405
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P03,0,0.0,0.038483002111638645,0.27693515578307093,-0.02179179093876274,-0.127667857087509,0.5535391632503239,-0.2291507360092246,0.4917781136491002,-0.18073563431360223,0.5024502706674007,-0.023099976176005777,0.21774102483796806,-0.29411541369974414,0.0011680389240945124,0.7431356445764707,0.5557431359370197,0.41497129348452255,0.3385368551956076,-0.3542923549677658,-0.010496633957067625,-0.16853890461948268,-0.6567755531658831,-0.5824216001422623,0.1158318099095322,0.6043073130850847,0.4291042104174393,0.10480455343961834,0.0631983943968934,-0.5663725681219709,0.0746933361649573,0.6854895237436294,1.1319706388487463,-0.4285834193379995,0.393361811162884
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P03,3,0.2,0.09236152880649888,0.14636040549690132,-0.049952656695112674,-0.1572587735357482,0.05637668915529764,-0.42182489924263644,0.08987576853275198,-0.3660644746531081,0.21563144055408162,-0.2588019197612329,-0.1461113021759466,-0.5705035487359579,-0.1183170206907127,0.38475177838959923,0.44665605974828565,0.6570763260403668,0.35052116421070867,-0.14395423928941053,0.11159844666114514,-0.4806250175698577,-0.6440216958560857,-0.5020117580314755,-0.3702236648807536,0.6862388925632987,0.31225326669495435,0.2045369528874822,0.16884105679902786,0.3472828229273721,-0.10808508220445148,0.5920000056366522,1.0548139610652754,-0.895092688116311,0.029250726594604815
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P03,6,0.4,-0.2683305957412822,0.5208836610204743,-0.029498236580608392,0.1405315578481779,0.23689323992200273,0.15711644367631156,0.33352071144604256,0.3139876619487596,-0.17165139149164582,0.20007918358601207,-0.26230733359574054,-0.3791044681069425,0.15456822954941732,0.31833947666876045,0.3557970276061253,0.8936303095055316,0.477674138032855,0.0929798364741313,0.481101292813701,0.14961905781839957,-0.6349943665357158,-0.5371542244889075,0.10448287643910191,0.96039381903227,0.2986958910897772,-0.07609020211686368,-0.4679144026513148,-0.058569823117874766,-0.003031713741870487,0.41637147988302753,1.0878153384343558,-0.5376560727175891,0.4939331348650755
